,country,dates,mobility_percent_from_base_x,mobility_percent_from_base_y
0,Argentina,2020-02-15,115.545,99.66666666666667
1,Argentina,2020-02-16,78.66,95.0
2,Argentina,2020-02-17,92.85,94.16666666666667
3,Argentina,2020-02-18,104.82,103.5
4,Argentina,2020-02-19,102.99,104.66666666666667
5,Argentina,2020-02-20,108.035,101.16666666666667
6,Argentina,2020-02-21,128.35,102.5
7,Argentina,2020-02-22,131.1,103.5
8,Argentina,2020-02-23,104.35499999999999,107.16666666666667
9,Argentina,2020-02-24,102.25999999999999,87.5
10,Argentina,2020-02-25,91.05000000000001,82.16666666666667
11,Argentina,2020-02-26,102.08500000000001,104.66666666666667
12,Argentina,2020-02-27,104.28999999999999,102.33333333333333
13,Argentina,2020-02-28,120.475,102.83333333333333
14,Argentina,2020-02-29,113.10499999999999,101.83333333333333
15,Argentina,2020-03-01,74.815,98.33333333333333
16,Argentina,2020-03-02,93.885,103.16666666666667
17,Argentina,2020-03-03,96.64500000000001,103.66666666666667
18,Argentina,2020-03-04,100.485,104.16666666666667
19,Argentina,2020-03-05,105.685,103.83333333333333
20,Argentina,2020-03-06,122.50999999999999,105.83333333333333
21,Argentina,2020-03-07,117.795,102.33333333333333
22,Argentina,2020-03-08,75.65,99.66666666666667
23,Argentina,2020-03-09,99.33,104.0
24,Argentina,2020-03-10,99.45500000000001,105.33333333333333
25,Argentina,2020-03-11,82.89500000000001,93.66666666666667
26,Argentina,2020-03-12,96.75999999999999,102.5
27,Argentina,2020-03-13,101.53,102.0
28,Argentina,2020-03-14,77.53999999999999,88.33333333333333
29,Argentina,2020-03-15,45.67,87.66666666666667
30,Argentina,2020-03-16,52.56,88.66666666666667
31,Argentina,2020-03-17,40.504999999999995,76.83333333333333
32,Argentina,2020-03-18,37.585,75.83333333333333
33,Argentina,2020-03-19,36.935,77.0
34,Argentina,2020-03-20,14.26,49.666666666666664
35,Argentina,2020-03-21,10.825,46.5
36,Argentina,2020-03-22,7.85,41.666666666666664
37,Argentina,2020-03-23,9.219999999999999,38.0
38,Argentina,2020-03-24,9.405000000000001,37.833333333333336
39,Argentina,2020-03-25,12.89,44.833333333333336
40,Argentina,2020-03-26,12.555,44.333333333333336
41,Argentina,2020-03-27,13.375,46.333333333333336
42,Argentina,2020-03-28,12.035,46.833333333333336
43,Argentina,2020-03-29,8.844999999999999,42.333333333333336
44,Argentina,2020-03-30,12.98,44.666666666666664
45,Argentina,2020-03-31,11.219999999999999,40.5
46,Argentina,2020-04-01,13.785,47.333333333333336
47,Argentina,2020-04-02,13.855,47.333333333333336
48,Argentina,2020-04-03,14.794999999999998,50.333333333333336
49,Argentina,2020-04-04,13.05,50.5
50,Argentina,2020-04-05,10.325,45.666666666666664
51,Argentina,2020-04-06,14.544999999999998,50.5
52,Argentina,2020-04-07,16.02,53.0
53,Argentina,2020-04-08,17.73,54.0
54,Argentina,2020-04-09,17.225,51.5
55,Argentina,2020-04-10,15.190000000000001,41.166666666666664
56,Argentina,2020-04-11,17.575,51.666666666666664
57,Australia,2020-02-15,100.93,101.83333333333333
58,Australia,2020-02-16,103.77666666666666,103.16666666666667
59,Australia,2020-02-17,105.27,102.5
60,Australia,2020-02-18,109.42333333333333,100.33333333333333
61,Australia,2020-02-19,111.53333333333335,102.0
62,Australia,2020-02-20,115.31,104.33333333333333
63,Australia,2020-02-21,124.27666666666669,105.16666666666667
64,Australia,2020-02-22,105.15666666666665,104.83333333333333
65,Australia,2020-02-23,105.31333333333333,103.0
66,Australia,2020-02-24,109.50333333333333,102.33333333333333
67,Australia,2020-02-25,110.83333333333333,102.0
68,Australia,2020-02-26,110.40333333333332,102.83333333333333
69,Australia,2020-02-27,116.47666666666667,103.66666666666667
70,Australia,2020-02-28,124.95666666666666,106.33333333333333
71,Australia,2020-02-29,110.49666666666667,107.33333333333333
72,Australia,2020-03-01,103.95666666666666,106.0
73,Australia,2020-03-02,105.30333333333334,103.33333333333333
74,Australia,2020-03-03,105.02,102.33333333333333
75,Australia,2020-03-04,105.04,102.83333333333333
76,Australia,2020-03-05,113.19333333333333,101.16666666666667
77,Australia,2020-03-06,117.41666666666667,105.66666666666667
78,Australia,2020-03-07,100.16000000000001,105.0
79,Australia,2020-03-08,92.86,103.83333333333333
80,Australia,2020-03-09,99.25666666666666,97.66666666666667
81,Australia,2020-03-10,102.71999999999998,102.33333333333333
82,Australia,2020-03-11,102.69666666666667,104.0
83,Australia,2020-03-12,102.13,105.0
84,Australia,2020-03-13,97.16333333333334,104.66666666666667
85,Australia,2020-03-14,77.94333333333333,99.83333333333333
86,Australia,2020-03-15,77.91666666666667,100.33333333333333
87,Australia,2020-03-16,74.13,103.33333333333333
88,Australia,2020-03-17,71.12333333333333,100.5
89,Australia,2020-03-18,69.44333333333334,99.83333333333333
90,Australia,2020-03-19,71.21,98.16666666666667
91,Australia,2020-03-20,69.17333333333333,96.66666666666667
92,Australia,2020-03-21,52.89000000000001,93.33333333333333
93,Australia,2020-03-22,52.70333333333334,90.16666666666667
94,Australia,2020-03-23,47.800000000000004,89.83333333333333
95,Australia,2020-03-24,45.35,82.0
96,Australia,2020-03-25,42.89333333333334,79.83333333333333
97,Australia,2020-03-26,43.97,80.16666666666667
98,Australia,2020-03-27,37.96666666666667,79.16666666666667
99,Australia,2020-03-28,29.7,75.16666666666667
100,Australia,2020-03-29,38.546666666666674,70.5
101,Australia,2020-03-30,39.06,73.0
102,Australia,2020-03-31,38.56333333333333,72.33333333333333
103,Australia,2020-04-01,37.25333333333334,72.16666666666667
104,Australia,2020-04-02,39.28666666666666,70.33333333333333
105,Australia,2020-04-03,32.053333333333335,72.5
106,Australia,2020-04-04,27.023333333333337,68.83333333333333
107,Australia,2020-04-05,38.51,68.5
108,Australia,2020-04-06,39.02666666666667,72.5
109,Australia,2020-04-07,39.596666666666664,72.0
110,Australia,2020-04-08,42.576666666666675,73.33333333333333
111,Australia,2020-04-09,27.959999999999997,79.16666666666667
112,Australia,2020-04-10,29.590000000000003,50.0
113,Australia,2020-04-11,24.073333333333334,70.16666666666667
114,Austria,2020-02-15,162.13,110.5
115,Austria,2020-02-16,116.985,114.83333333333333
116,Austria,2020-02-17,119.455,108.0
117,Austria,2020-02-18,120.47999999999999,108.5
118,Austria,2020-02-19,121.61500000000001,101.83333333333333
119,Austria,2020-02-20,124.685,102.5
120,Austria,2020-02-21,142.375,101.0
121,Austria,2020-02-22,161.7,113.0
122,Austria,2020-02-23,114.42500000000001,106.33333333333333
123,Austria,2020-02-24,118.56,108.0
124,Austria,2020-02-25,117.33,115.0
